HS 2007 Product Code,HS 2007 Product Description,CCCN Product Code,CCCN Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,0101,"Live horses, asses, mules and hinnies"
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,0101,"Live horses, asses, mules and hinnies"
010210,Live bovine animals: pure-bred breeding animals,0102A,"Bovine species,live -- pure bred for breeding"
010290,Live bovine animals other than pure-bred breeding animals,0102B,"Bovine species,live -- othr than for breeding"
010310,Live swine: pure-bred breeding animals,0103,Live swine
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",0103,Live swine
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",0103,Live swine
010410,Live sheep,0104A,"Sheep,live"
010420,Live goats,0104B,"Goats,live"
010511,"Live fowls of species Gallus domesticus, weighing not >185g",0105A,Live poultry less 185 gr
010512,"Live turkeys, weighing not >185g",0105A,Live poultry less 185 gr
010519,"Live ducks/geese/guinea fowls, weighing not >185g",0105A,Live poultry less 185 gr
010594,"Live fowls of species Gallus domesticus, weighing > 185g",0105B,Live poultry over 185 gr
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",0105B,Live poultry over 185 gr
010611,Live primates,0106B,"Zoo animals,pets"
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),0106B,"Zoo animals,pets"
010619,"Live mammals, n.e.s.",0106B,"Zoo animals,pets"
010620,"Live reptiles, incl. snakes & turtles",0106B,"Zoo animals,pets"
010631,Live birds of prey,0106B,"Zoo animals,pets"
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",0106B,"Zoo animals,pets"
010639,Live birds (excl. of 0106.31 & 0106.32),0106B,"Zoo animals,pets"
010690,"Live animals, n.e.s.",0106B,"Zoo animals,pets"
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",0201A,Bovine meat with bone in
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",0201A,Bovine meat with bone in
020130,"Meat of bovine animals, fresh/chilled, boneless",0201B,Bovine meat boneless
020210,"Carcasses/half-carcasses of bovine animals, frozen",0201A,Bovine meat with bone in
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",0201A,Bovine meat with bone in
020230,"Meat of bovine animals, frozen, boneless",0201B,Bovine meat boneless
020311,"Carcasses/half-carcasses of swine, fresh/chilled",0201D,"Pig meat fresh,chilled,frozen"
020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",0201D,"Pig meat fresh,chilled,frozen"
020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",0201D,"Pig meat fresh,chilled,frozen"
020321,"Carcasses/half-carcasses of swine, frozen",0201D,"Pig meat fresh,chilled,frozen"
020322,"Hams, shoulders & cuts thereof , frozen, bone-in",0201D,"Pig meat fresh,chilled,frozen"
020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",0201D,"Pig meat fresh,chilled,frozen"
020410,"Carcasses/half-carcasses of lamb, fresh/chilled",0201C,"Mutton etc fresh,chilled,frozen"
020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",0201C,"Mutton etc fresh,chilled,frozen"
020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",0201C,"Mutton etc fresh,chilled,frozen"
020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless",0201C,"Mutton etc fresh,chilled,frozen"
020430,"Carcasses/half-carcasses of lamb, frozen",0201C,"Mutton etc fresh,chilled,frozen"
020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen",0201C,"Mutton etc fresh,chilled,frozen"
020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in",0201C,"Mutton etc fresh,chilled,frozen"
020443,"Meat of sheep (excl. lamb), frozen, boneless",0201C,"Mutton etc fresh,chilled,frozen"
020450,"Meat of goats, fresh/chilled/frozen",0201C,"Mutton etc fresh,chilled,frozen"
020500,"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen",0201E,"Horse meat fresh,chilled,frozen"
020610,"Edible offal of bovine animals, fresh/chilled",0201F,"Edible offal fresh,chilled,frozen"
020621,"Tongues of bovine animals, frozen",0201F,"Edible offal fresh,chilled,frozen"
020622,"Livers of bovine animals, frozen",0201F,"Edible offal fresh,chilled,frozen"
020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",0201F,"Edible offal fresh,chilled,frozen"
020630,"Edible offal of swine, fresh/chilled",0201F,"Edible offal fresh,chilled,frozen"
020641,"Livers of swine, frozen",0201F,"Edible offal fresh,chilled,frozen"
020649,"Edible offal of swine (excl. liver), frozen",0201F,"Edible offal fresh,chilled,frozen"
020680,"Edible offal, n.e.s., fresh/chilled",0201F,"Edible offal fresh,chilled,frozen"
020690,"Edible offal, n.e.s., frozen",0201F,"Edible offal fresh,chilled,frozen"
020711,"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020712,"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020713,"Cuts & edible offal of species Gallus domesticus, fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020714,"Cuts & edible offal of species Gallus domesticus, frozen",0202,"Poultry fresh,chilled,frozen"
020724,"Meat of turkeys, not cut in pieces, fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020725,"Meat of turkeys, not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020726,"Cuts & edible offal of turkey, fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020727,"Cuts & edible offal of turkey, frozen",0202,"Poultry fresh,chilled,frozen"
020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled",0203,"Poultry liver fresh,etc"
020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled",0202,"Poultry fresh,chilled,frozen"
020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen",0202,"Poultry fresh,chilled,frozen"
020810,"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen",0204,"Other meat nes fresh,etc"
020830,"Meat & edible meat offal of primates, fresh/chilled/frozen",0204,"Other meat nes fresh,etc"
020840,"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of manatees & dugongs (order Sirenia), fresh/chilled/frozen",0204,"Other meat nes fresh,etc"
020850,"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/frozen",0204,"Other meat nes fresh,etc"
020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen",0204,"Other meat nes fresh,etc"
020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",0205,"Pig,poultry fat not rendered"
021011,"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bone-in",0206A,"Pig meat dried,salted,smoked"
021012,"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked",0206A,"Pig meat dried,salted,smoked"
021019,"Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cuts thereof ), salted/in brine/dried/smoked",0206A,"Pig meat dried,salted,smoked"
021020,"Meat of bovine animals, salted/in brine/dried/smoked",0206B,"Meat nes dried,salted,smoked"
021091,"Meat & edible meat offal of primates, salted/in brine/dried/smoked, incl. edible flours/meals",1602,"Other prepared,presrved meat"
021092,"Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manatees & dugongs (order Sirenia), salted/in brine/dried/smoked, incl. edible flours/meals",1602,"Other prepared,presrved meat"
021093,"Meat & edible meat offal of reptiles, incl. snakes & turtles, salted/in brine/dried/smoked, incl. edible flours/meals",1602,"Other prepared,presrved meat"
021099,"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edible flours/meals",1602,"Other prepared,presrved meat"
030110,Live ornamental fish,0301A,"Fish fresh,chilled,excluding fillets"
030191,"Live trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster)",0301A,"Fish fresh,chilled,excluding fillets"
030192,Live eels (Anguilla spp.),0301A,"Fish fresh,chilled,excluding fillets"
030193,Live carp,0301A,"Fish fresh,chilled,excluding fillets"
030194,Live bluefin tunas (Thunnus thynnus),0301A,"Fish fresh,chilled,excluding fillets"
030195,Live southern bluefin tunas (Thunnus maccoyii),0301A,"Fish fresh,chilled,excluding fillets"
030199,"Live fish(excl. of 0301.10-0301.95),n.e.s.",0301A,"Fish fresh,chilled,excluding fillets"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0301A,"Fish fresh,chilled,excluding fillets"
